Name,Cuisine,Cost,Address,Latitude,Longitude
1 Tippling Place,Cocktails,$$,"2006 Chestnut St, Philadelphia, PA 19103",39.9519311,-75.17386139
1-900-ICE-CREAM,Ice Cream,$,"229 S 20th St, Philadelphia, PA 19103",39.9495696,-75.1739209
12 Steps Down,Dive Bar,$,"831 Christian St, Philadelphia, PA 19147",39.9390528,-75.1576839
48 Record Bar,Cocktails,$$$,"48 S 2nd St, Philadelphia, PA 19106",39.9488335,-75.1441085
Abyssinia Bar and Restaurant,Ethiopian,$,"229 S 45th St, Philadelphia, PA 19104",39.9541784,-75.2117749
Aki Nom Nom Sushi and Ramen ,Japanese,$$,"1210 Walnut St, Philadelphia, PA 19107",39.9487415,-75.1611577
Almaz Café,Ethiopian,$,"140 S 20th St, Philadelphia, PA 19103",39.950684,-75.173896
Almyra,Mediterranean,$$,"1636 Chancellor St, Philadelphia, PA 19103",39.9492149,-75.168268
Alpen Rose,Steakhouse ,$$$,"116 S 13th St, Philadelphia, PA 19107",39.9503305,-75.1617307
Ba Le Bakery,Vietnamese,$,"606 Washington Ave, Philadelphia, PA 19147",39.9351104,-75.1541233
Bad Brother,American,$$$,"726 N 24th St, Philadelphia, PA 19130",39.9684673,75.1768339
Bar Bombon,Vegan,$$,"133 S 18th St, Philadelphia, PA 19103",39.950618,-75.1704475
Bar Jawn,Dive Bar,$,"Bar Jawn, 4247 Main St, Philadelphia, PA 19127",40.0245869,-75.2211942
Barbuzzo,Mediterranean,$$,"110 S 13th St, Philadelphia, PA 19107",39.9503815,-75.16172
Barcade,Dive Bar,$$,"1326 Chestnut St, Philadelphia, PA 19107",39.9506344,-75.1629339
Bart's Bagels,Bagels,$,"3945 Lancaster Ave, Philadelphia, PA 19104",39.9627373,-75.2014363
Beiler's Bakery,Breakfast/Brunch,$,"51 N 12th St, Philadelphia, PA 19107",39.9536024,-75.1591514
Bella Vista Beverage,Beer Store,$,"755 S 11th St, Philadelphia, PA 19147",39.9404798,-75.1604306
Bistro La Baia BYOB,Italian ,$$,"1700 Lombard St, Philadelphia, PA 19146",39.945205,-75.17028
Bistro SouthEast,Vietnamese,$$,"1824 South St, Philadelphia, PA 19146",39.9441892,-75.17279
Black Taxi,Dive Bar,$$,"745-747 N 25th St, Philadelphia, PA 19130",39.9667652,-75.1788117
Café La Maude,Breakfast/Brunch,$$,"816 N 4th St, Philadelphia, PA 19123",39.964263,-75.1445163
Cafe Walnut,Coffeeshop,$,"703 Walnut St, Philadelphia, PA 19106",39.948017,-75.1528374
Café y Choclate,Mexican,$$,"1532 Snyder Ave, Philadelphia, PA 19145",39.924596,-75.1726619
Carangi Baking Comapny,Bakery,$,"2655 S Iseminger St, Philadelphia, PA 19148",39.9166453,-75.1684986
Casa Mexico,Mexican,$$,"1134 S 9th St, Philadelphia, PA 19147",39.9355117,-75.1587567
Charlie was a sinner,Vegan,$$$,"131 S 13th St, Philadelphia, PA 19107",39.9495249,-75.1618901
Circles and Square,Pizza,$$,"2513 Tulip St, Philadelphia, PA 19125",39.9811809,-75.1232111
Circles Thai,Thai,$$,"812 N 2nd St, Philadelphia, PA 19123",39.963394,-75.1411813
Clarkville ,Pizza,$$,"4301 Baltimore Ave, Philadelphia, PA 19104",39.9497354,-75.2094048
Cleavers,Cheesesteaks,$$,"108 S 18th St, Philadelphia, PA 19103",39.9513876,-75.1705328
D'Emilio's Old World Ice Treats,Ice Cream,$,"1928 E Passyunk Ave, Philadelphia, PA 19148",39.9260282,-75.1682141
Dalessandro's Steaks,Cheesesteaks,$,"600 Wendover St, Philadelphia, PA 19128",40.0295137,-75.2059831
Dan Dan Rittenhouse,Chinese,$$,"126 S 16th St, Philadelphia, PA 19102",39.950243,-75.1675348
Dante & Luigis ,Italian,$$$,"762 S 10th St, Philadelphia, PA 19147",39.9405027,-75.1592404
David's Mai Lai Wah ,Chinese,$$,"1001 Race St, Philadelphia, PA 19107",39.9554721,-75.1559832
"Dear, Lunchbox",Sandwiches,$,"1215 S 6th St, Philadelphia, PA 19147",39.9331284,-75.1541458
Devon Seafood Grill,American,$$$,"5617 Lancaster Ave, Philadelphia, PA 19131",39.9805913,-75.2344805
Dibbs BBQ,Barbeque,$$,"1020 Race St, Philadelphia, PA 19107",39.9551864,-75.1567823
Dim Sum Garden ,Chinese,$,"113 Chestnut St, Philadelphia, PA 19106",39.9483783,-75.1431628
Don Barriga ,Mexican,$$,"106 S 40th St, Philadelphia, PA 19104",39.9554895,-75.2024104
Doro Bet ,Ethiopian,$,"1524 S 10th St, Philadelphia, PA 19147",39.9301253,-75.1616104
Eggcellent Café,Breakfast/Brunch,$$,"1412 S 5th St, Philadelphia, PA 19147",39.9306653,-75.153434
Ekta Indian Cuisine,Indian,$,"1260 Point Breeze Ave, Philadelphia, PA 19146",39.9358576,-75.1783425
El Chingon ,Mexican,$$,"315 N 12th St, Philadelphia, PA 19107",39.9581762,-75.1580821
El Fuerte de Loreto Philly,Mexican,$$,"2013 Chestnut St, Philadelphia, PA 19103",39.9523508,-75.1740894
El Mezcal Catina ,Mexican,$$,"1830 Ludlow St, Philadelphia, PA 19103",39.9526323,-75.1713516
El Purpecheua ,Mexican,$$,"121 S 13th St, Philadelphia, PA 19107",39.9497016,-75.161896
El Ray,Mexican,$$,"207 S Sydenham St, Philadelphia, PA 19102",39.9494024,-75.1667152
El Techo,Cocktails,$$,"700 S 4th St, Philadelphia, PA 19147",39.9404955,-75.149667
El Vez,Mexican,$$,"719 Walnut St, Philadelphia, PA 19106",39.9480904,-75.1534068
Elixr Coffee Roasters,Coffeeshop,$$,"21 S 12th St, Philadelphia, PA 19107",39.950997,-75.1598045
Famous 4th Street Deli,Sandwiches,$$$,"1214 Sansom St, Philadelphia, PA 19107",39.9496126,-75.1611568
Fat Salmon Sushi,Japanese,$$,"1208 Frankford Ave, Philadelphia, PA 19125",39.9692461,-75.1345372
Federal Donuts,Breakfast/Brunch,$,"817 Christian St, Philadelphia, PA 19147",39.9388987,-75.1568756
Fergie's Pub,Dive Bar,$,"2001 Fitzwater St, Philadelphia, PA 19146",39.9431617,-75.1755371
Fette Sau,Barbeque,$$$,"306 Market St, Philadelphia, PA 19106",39.9500306,-75.1461104
Fiorella Pasta,Italian ,$$,"233 Chestnut St, Philadelphia, PA 19105",39.9486523,-75.1453872
Fitzwater Bagels,Bagels,$,"1601 S 10th St, Philadelphia, PA 19148",39.9295012,-75.1614403
Fork,American,$$$,"847 W Ritner St #3747, Philadelphia, PA 19148",39.919581,-75.161633
Forsythia,French,$$$$,"1837 E Passyunk Ave, Philadelphia, PA 19148",39.9269127,-75.1666083
Fountain Porter,Dive Bar,$,"1231 E Passyunk Ave, Philadelphia, PA 19147",39.9334683,-75.1587419
Frangelli's Bakery & Donuts,Bakery,$,"1328 Pine St, Philadelphia, PA 19107",39.9452927,-75.1641536
Gabriella's Vietnam ,Vietnamese,$$$,"1523 Sansom St, Philadelphia, PA 19102",39.9504523,-75.1661988
Garage Bar,Dive Bar,$,"126 Chestnut St, Philadelphia, PA 19106",39.9482194,-75.1435044
Giorgio On Pine,Italian ,$$,"4540 Baltimore Ave, Philadelphia, PA 19143",39.9488536,-75.2142166
Giuseppe & Sons ,Italian ,$$,"1911 Sansom St, Philadelphia, PA 19102",39.9512146,-75.1723547
Glory Beer Bar & Kitchen ,Gastropub,$$,"224 S 15th St, Philadelphia, PA 19102",39.9487884,-75.1663204
Gojjo,Ethiopian,$$,"231 McClellan St, Philadelphia, PA 19148",39.9253255,-75.1507514
Goldie,Mediterranean,$,"941 S 8th St, Philadelphia, PA 19147",39.937245,-75.1564613
Good Dog Bar,Gastropub,$$,"136 S 45th St, Philadelphia, PA 19139",39.9558799,-75.2116523
Gooey Looies,Sandwiches,$,"613 S 7th St, Philadelphia, PA 19147",39.9416629,-75.1538116
Grace & Proper,Gastropub,$$,"110 Chestnut St, Philadelphia, PA 19106",39.948068,-75.1430296
Hadramount ,Mediterranean,$,"1754 S Hicks St #2217, Philadelphia, PA 19145",39.9284461,-75.171266
Hale & True Cider Co. ,Cocktails,$$,"3528 Wharton St, Philadelphia, PA 19146",39.9386447,-75.2011361
Han Dynasty - Old City,Chinese,$$,"23 S 19th St, Philadelphia, PA 19103",39.9525209,-75.1716582
Hardena,Asian ,$,"1740 Sansom St, Philadelphia, PA 19103",39.9507697,-75.1701708
Haven Cafe,Breakfast/Brunch,$,"1109 Walnut St, Philadelphia, PA 19107",39.9488634,-75.159579
Healthy Picks ,Bodega/Late Night,$,"325 N Christopher Columbus Blvd, Philadelphia, PA 19106",39.9575814,-75.1381071
Her Place Supper Club,French,$$$$,"127 S 18th St, Philadelphia, PA 19103",39.9507593,-75.1703501
Hi-Lo Taco Co.,Mexican,$$,"1444 S Broad St, Philadelphia, PA 19146",39.9323815,-75.1681089
Hibachi Japanese Steakhouse & Sushi Bar,Japanese,$$,"11 N 3rd St, Philadelphia, PA 19106",39.9506112,-75.1453941
HipCityVeg,Vegan,$,"2723 E Cumberland St, Philadelphia, PA 19125",39.9750689,-75.1183484
Hive,Coffeeshop,$$,"2241 Grays Ferry Ave, Philadelphia, PA 19146",39.9448204,-75.1800621
ICI Macaraons & Café,Coffeeshop,$$,"4116 Ridge Ave, Philadelphia, PA 19129",40.0078577,-75.1923521
Il Ghiottone,Italian ,$,"100 S Independence Mall W, Philadelphia, PA 19106",39.949115,-75.1509
